iter	Passed	Remaining
0	193	19158
1	391	19165
2	601	19450
3	768	18444
4	969	18414
5	1181	18503
6	1419	18862
7	1653	19014
8	1859	18797
9	2073	18664
10	2347	18992
11	2612	19161
12	2829	18933
13	3054	18761
14	3291	18651
15	3508	18419
16	3721	18170
17	3925	17881
18	4134	17625
19	4344	17378
20	4517	16994
21	4692	16638
22	4874	16319
23	5086	16107
24	5325	15977
25	5505	15668
26	5673	15338
27	5855	15057
28	6044	14797
29	6235	14549
30	6399	14244
31	6568	13958
32	6751	13708
33	6925	13442
34	7124	13230
35	7308	12992
36	7504	12778
37	7694	12553
38	7873	12314
39	8076	12114
40	8261	11889
41	8433	11645
42	8617	11423
43	8818	11223
44	9022	11027
45	9193	10792
46	9361	10557
47	9583	10381
48	9768	10167
49	9939	9939
50	10119	9722
51	10329	9535
52	10505	9315
53	10678	9096
54	10856	8882
55	11045	8678
56	11274	8505
57	11467	8303
58	11637	8087
59	11828	7885
60	12022	7686
61	12232	7497
62	12415	7291
63	12587	7080
64	12763	6872
65	12962	6677
66	13188	6496
67	13372	6292
68	13551	6088
69	13732	5885
70	13920	5685
71	14099	5483
72	14280	5281
73	14454	5078
74	14629	4876
75	14839	4686
76	15023	4487
77	15212	4290
78	15416	4098
79	15618	3904
80	15813	3709
81	15979	3507
82	16152	3308
83	16333	3111
84	16549	2920
85	16706	2719
86	16861	2519
87	17037	2323
88	17225	2128
89	17425	1936
90	17623	1742
91	17798	1547
92	17974	1352
93	18170	1159
94	18377	967
95	18555	773
96	18722	579
97	18904	385
98	19079	192
99	19261	0
