iter	Passed	Remaining
0	200	19896
1	389	19066
2	602	19470
3	813	19531
4	1010	19191
5	1225	19195
6	1434	19055
7	1636	18824
8	1854	18754
9	2039	18351
10	2228	18027
11	2410	17676
12	2587	17318
13	2799	17194
14	2984	16914
15	3149	16536
16	3351	16365
17	3563	16232
18	3730	15904
19	3906	15626
20	4083	15360
21	4272	15148
22	4496	15054
23	4664	14770
24	4843	14530
25	5013	14267
26	5190	14032
27	5406	13902
28	5588	13682
29	5774	13474
30	5960	13266
31	6141	13050
32	6352	12898
33	6550	12715
34	6730	12500
35	6914	12292
36	7070	12038
37	7312	11931
38	7593	11876
39	7856	11784
40	8107	11666
41	8317	11485
42	8553	11337
43	8817	11222
44	9120	11146
45	9338	10962
46	9537	10755
47	9801	10618
48	10072	10483
49	10385	10385
50	10691	10272
51	10980	10135
52	11285	10008
53	11490	9788
54	11664	9543
55	11842	9304
56	12051	9091
57	12295	8903
58	12472	8667
59	12652	8435
60	12829	8202
61	13009	7973
62	13244	7778
63	13431	7555
64	13608	7327
65	13796	7107
66	14000	6895
67	14218	6690
68	14427	6481
69	14608	6260
70	14808	6048
71	14991	5830
72	15163	5608
73	15336	5388
74	15525	5175
75	15719	4963
76	15933	4759
77	16102	4541
78	16279	4327
79	16470	4117
80	16648	3905
81	16841	3696
82	17016	3485
83	17178	3272
84	17359	3063
85	17535	2854
86	17733	2649
87	17905	2441
88	18081	2234
89	18263	2029
90	18468	1826
91	18652	1621
92	18830	1417
93	18990	1212
94	19166	1008
95	19344	806
96	19513	603
97	19687	401
98	19918	201
99	20100	0
