iter	MultiClass
0	1.549539306
1	1.49647219
2	1.438142289
3	1.392501431
4	1.358461191
5	1.304467095
6	1.25705806
7	1.22695431
8	1.202062496
9	1.182254225
10	1.160897947
11	1.147888289
12	1.137818398
13	1.122522874
14	1.096491655
15	1.080405669
16	1.061632006
17	1.049763866
18	1.037939851
19	1.030395257
20	1.022733062
21	1.016905302
22	1.009050062
23	1.004375475
24	0.9953103122
25	0.9884453367
26	0.9842992738
27	0.9812311089
28	0.9780381066
29	0.9743129741
30	0.9715589983
31	0.9652457064
32	0.9581642274
33	0.9555663338
34	0.9516522264
35	0.946727268
36	0.9437448726
37	0.9424720378
38	0.9411936412
39	0.9395907739
40	0.9373428784
41	0.933275422
42	0.9265017308
43	0.9240446837
44	0.9214755108
45	0.9195901238
46	0.9145585266
47	0.9129893262
48	0.91212677
49	0.9087162335
50	0.9044751344
51	0.9009972717
52	0.9004405593
53	0.8991974778
54	0.8984451405
55	0.8971106715
56	0.893646778
57	0.8918486806
58	0.8907724959
59	0.8907297953
60	0.8903241721
61	0.8884344111
62	0.8875551378
63	0.8872053414
64	0.8842713037
65	0.8839765383
66	0.883496036
67	0.8826073321
68	0.8816884065
69	0.8797743283
70	0.8788344267
71	0.8772266776
72	0.874636955
73	0.8745596996
74	0.8716168149
75	0.8704703549
76	0.8699345778
77	0.8671195454
78	0.8667174249
79	0.865936247
80	0.8653267704
81	0.8634717433
82	0.8630444268
83	0.8624664844
84	0.8623231746
85	0.8618918497
86	0.8606417212
87	0.8604222206
88	0.8600162878
89	0.8594395647
90	0.8585435053
91	0.8583052701
92	0.8579993433
93	0.8567785354
94	0.8557898153
95	0.8550170941
96	0.8542341109
97	0.853197779
98	0.8524991732
99	0.8513225551
