iter	Passed	Remaining
0	955	285725
1	1944	289742
2	2897	286828
3	3807	281742
4	4832	285098
5	5819	285139
6	6797	284507
7	7733	282267
8	8785	284063
9	9768	283292
10	10754	282543
11	11784	282824
12	12815	282935
13	13818	282301
14	14795	281106
15	15887	282004
16	16937	281963
17	17912	280635
18	18942	280156
19	19950	279313
20	21112	280489
21	22173	280188
22	23204	279463
23	24204	278346
24	25229	277527
25	26294	277104
26	27418	277227
27	28434	276223
28	28624	267486
29	29850	268653
30	30827	267502
31	31943	267529
32	33115	267934
33	34165	267294
34	35154	266169
35	36218	265600
36	37227	264616
37	38203	263403
38	39309	263068
39	40235	261528
40	41286	260809
41	42266	259634
42	43369	259209
43	44508	258958
44	45605	258429
45	46792	258378
46	47805	257338
47	47935	251663
48	49144	251737
49	50429	252147
50	51531	251596
51	52546	250606
52	53636	249965
53	54705	249214
54	55817	248639
55	56922	248020
56	58070	247564
57	59260	247259
58	60291	246275
59	61442	245769
60	62610	245311
61	63835	245047
62	64965	244394
63	65984	243317
64	67122	242674
65	68304	242171
66	69358	241203
67	70455	240377
68	71874	240623
69	73575	241747
70	75037	242021
71	76442	242069
72	77775	241849
73	79035	241379
74	80370	241110
75	81641	240626
76	83349	241387
77	84774	241281
78	86185	241102
79	87844	241571
80	89557	242136
81	91116	242237
82	92578	242041
83	93846	241320
84	95122	240604
85	96224	239441
86	97595	238940
87	98733	237858
88	99942	236942
89	101188	236105
90	101343	232756
91	102616	232001
92	103855	231163
93	104990	230085
94	106160	229083
95	107160	227715
96	108350	226754
97	109737	226193
98	110830	225020
99	111899	223798
100	113226	223089
101	114383	222037
102	115297	220520
103	116512	219580
104	117698	218582
105	118783	217396
106	119807	216100
107	121013	215135
108	122203	214136
109	123194	212791
110	124308	211660
111	125236	210218
112	126439	209241
113	127661	208289
114	128910	207378
115	129901	206050
116	131027	204940
117	132076	203710
118	133061	202387
119	134206	201309
120	135327	200194
121	136551	199230
122	137673	198115
123	138747	196931
124	139997	195996
125	141148	194919
126	142237	193757
127	143152	192360
128	144311	191296
129	145406	190147
130	146604	189131
131	147587	187838
132	148745	186770
133	149505	185208
134	151054	184622
135	152595	184012
136	153921	183132
137	155114	182090
138	156316	181057
139	157741	180276
140	159503	179866
141	161458	179651
142	162782	178719
143	163843	177496
144	165144	176533
145	166296	175408
146	167405	174238
147	168461	173014
148	169737	172015
149	170853	170853
150	171989	169711
151	173267	168707
152	174368	167530
153	175561	166441
154	176749	165346
155	178083	164384
156	179301	163312
157	180426	162155
158	181530	160979
159	182624	159796
160	183894	158766
161	184976	157572
162	185986	156319
163	187214	155251
164	188574	154288
165	189742	153165
166	190992	152107
167	192217	151028
168	193419	149928
169	194546	148770
170	195619	147572
171	196898	146529
172	198542	145750
173	199905	144759
174	201076	143626
175	202343	142560
