iter	MultiClass
0	1.512344964
1	1.439396487
2	1.367731911
3	1.308637496
4	1.257621148
5	1.215112548
6	1.18129191
7	1.148142008
8	1.11993122
9	1.095473519
10	1.073411333
11	1.054485182
12	1.037102673
13	1.020809191
14	1.005424718
15	0.9935183814
16	0.982843525
17	0.9733236726
18	0.9605758929
19	0.950619369
20	0.9415469956
21	0.9334379627
22	0.9232368114
23	0.916627487
24	0.910169175
25	0.9028804443
26	0.8965493107
27	0.8915601446
28	0.8903795334
29	0.8844705194
30	0.8800595541
31	0.8742760579
32	0.868306126
33	0.8627020918
34	0.8551106994
35	0.8486523146
36	0.8464711394
37	0.8433545909
38	0.8366530236
39	0.8341595213
40	0.831413016
41	0.8281780919
42	0.8236331781
43	0.8220387379
44	0.8176461686
45	0.8145770806
46	0.8118949765
47	0.8116768457
48	0.8078365558
49	0.8047011609
50	0.8028920908
51	0.8008291654
52	0.7975287714
53	0.7962854495
54	0.7935366972
55	0.7885027343
56	0.7867241802
57	0.7846881328
58	0.7827739675
59	0.7809993742
60	0.7794824176
61	0.7769904255
62	0.7758391114
63	0.7754314726
64	0.7729729785
65	0.770817393
66	0.7680079016
67	0.7673351613
68	0.7653665333
69	0.7627880617
70	0.760988807
71	0.7598527652
72	0.7587255341
73	0.7579560399
74	0.7569537875
75	0.7560639189
76	0.7547780849
77	0.7521805566
78	0.750346077
79	0.7497135382
80	0.7490049622
81	0.7475296855
82	0.7458878661
83	0.7448711255
84	0.7440312882
85	0.7433657681
86	0.7422381137
87	0.7410383522
88	0.7398676737
89	0.7378475604
90	0.7377938673
91	0.7368434223
92	0.7358763812
93	0.7349151029
94	0.7330960756
95	0.7328701711
96	0.7322120032
97	0.7308068726
98	0.7293619993
99	0.7286609855
100	0.7278460162
101	0.7274640361
102	0.72724319
103	0.7269221971
104	0.7262234407
105	0.7212565507
106	0.717736414
107	0.7171417139
108	0.7157510603
109	0.7141715911
110	0.7137993248
111	0.7131162392
112	0.7122351165
113	0.7108769244
114	0.7090679799
115	0.708275625
116	0.7065685969
117	0.7063180847
118	0.7060556089
119	0.7052586747
120	0.7043023619
121	0.7019992787
122	0.7008323894
123	0.6985763221
124	0.6975200844
125	0.6963730127
126	0.6936732075
127	0.6930664325
128	0.6921456456
129	0.6907574387
130	0.6895861972
131	0.6892929534
132	0.6883420087
133	0.6882173073
134	0.6876189068
135	0.6867227073
136	0.685690966
137	0.683539868
138	0.6830993221
139	0.6821159234
140	0.6805690081
141	0.6793266346
142	0.6763644809
143	0.6752412384
144	0.6743011206
145	0.6735180305
146	0.6724163273
147	0.6720933981
148	0.6705182695
149	0.6687144005
150	0.6669592461
151	0.6656480196
152	0.6644533479
153	0.662238674
154	0.6607271006
155	0.6602163042
156	0.6595681172
157	0.6585106481
158	0.6579231349
159	0.6569468564
160	0.6560728932
161	0.6550293699
162	0.6546253876
163	0.6538493816
164	0.6530594349
165	0.6514341465
166	0.6477756849
167	0.6471291392
168	0.6463536873
169	0.6454808667
170	0.6452344844
171	0.6433644431
172	0.6429684019
173	0.6422385942
174	0.6418911492
175	0.6413486252
176	0.6409539307
