iter	MultiClass
0	1.549682214
1	1.496174485
2	1.436463551
3	1.391214982
4	1.357970922
5	1.310474987
6	1.262785719
7	1.227271618
8	1.202973189
9	1.18142269
10	1.160862998
11	1.149481165
12	1.140273489
13	1.129093555
14	1.104118466
15	1.084167722
16	1.070918609
17	1.056811972
18	1.044833182
19	1.039372312
20	1.026476806
21	1.020578898
22	1.01203654
23	1.001124939
24	0.9955064575
25	0.9936123615
26	0.9893730043
27	0.9859090036
28	0.9741797059
29	0.9687965184
30	0.9646846644
31	0.9621855671
32	0.958717692
33	0.9552049754
34	0.9539168215
35	0.9513191059
36	0.9462677267
37	0.9411399304
38	0.937723999
39	0.9359220567
40	0.932566253
41	0.9294706389
42	0.9285097694
43	0.92668567
44	0.9255157037
45	0.9204306299
46	0.9188787109
47	0.9159356753
48	0.9133452648
49	0.9086170431
50	0.9058266502
51	0.9025817353
52	0.899872548
53	0.8974815964
54	0.8953919031
55	0.8919704302
56	0.8888278281
57	0.8876347406
58	0.88668182
59	0.8849418882
60	0.8835902971
61	0.8820552837
62	0.8817984473
63	0.8807013683
64	0.8801369312
65	0.8785393112
66	0.8782145465
67	0.8765458746
68	0.8765019542
69	0.876147927
70	0.8758987826
71	0.8749957188
72	0.8748634952
73	0.8738176099
74	0.8724741584
75	0.8706044083
76	0.8689876945
77	0.8681237578
78	0.8658517372
79	0.8647269804
80	0.8646645302
81	0.8639249855
82	0.8631395122
83	0.8627050579
84	0.8619949899
85	0.8613937964
86	0.8611511669
87	0.8591722079
88	0.8589062969
89	0.858280775
90	0.857995103
91	0.8570161786
92	0.8561938259
93	0.8531425346
94	0.8528675887
95	0.8494525362
96	0.8494125654
97	0.8491594015
98	0.8481422472
99	0.8475029128
