iter	Passed	Remaining
0	181	17961
1	385	18887
2	633	20492
3	816	19584
4	1015	19288
5	1204	18877
6	1449	19257
7	1648	18960
8	1871	18927
9	2095	18862
10	2290	18535
11	2487	18241
12	2663	17826
13	2865	17599
14	3105	17599
15	3310	17379
16	3506	17118
17	3733	17010
18	3948	16831
19	4137	16551
20	4356	16390
21	4575	16222
22	4776	15991
23	5018	15892
24	5209	15629
25	5390	15342
26	5578	15082
27	5799	14913
28	6027	14755
29	6234	14548
30	6418	14286
31	6589	14002
32	6816	13839
33	7001	13590
34	7184	13341
35	7374	13109
36	7552	12860
37	7748	12642
38	7923	12392
39	8245	12367
40	8688	12502
41	8972	12390
42	9197	12191
43	9411	11977
44	9598	11731
45	9770	11470
46	9948	11218
47	10193	11042
48	10375	10799
49	10552	10552
50	10733	10312
51	10928	10088
52	11152	9889
53	11352	9670
54	11523	9428
55	11705	9196
56	11926	8996
57	12137	8789
58	12360	8589
59	12563	8375
60	12806	8187
61	13027	7984
62	13265	7790
63	13485	7585
64	13686	7369
65	13893	7157
66	14105	6947
67	14316	6737
68	14395	6467
69	14603	6258
70	14809	6049
71	15085	5866
72	15283	5652
73	15459	5431
74	15637	5212
75	15845	5003
76	16034	4789
77	16228	4577
78	16391	4357
79	16605	4151
80	16764	3932
81	16928	3716
82	17097	3501
83	17305	3296
84	17536	3094
85	17717	2884
86	17876	2671
87	18049	2461
88	18243	2254
89	18433	2048
90	18665	1846
91	18875	1641
92	19082	1436
93	19298	1231
94	19528	1027
95	19729	822
96	19909	615
97	20105	410
98	20295	205
99	20526	0
