iter	MultiClass
0	1.54959121
1	1.495802898
2	1.435969532
3	1.393641881
4	1.358676942
5	1.331722432
6	1.282943137
7	1.240709832
8	1.214377658
9	1.190874258
10	1.171906791
11	1.150451352
12	1.135024486
13	1.125764999
14	1.11625662
15	1.108683996
16	1.102417145
17	1.079144335
18	1.060040585
19	1.046570582
20	1.03611721
21	1.024172523
22	1.01317373
23	1.007792112
24	0.996641765
25	0.9913602033
26	0.9887337776
27	0.9828385092
28	0.9789503044
29	0.9727534612
30	0.9652597765
31	0.9631123238
32	0.9594186501
33	0.9559983071
34	0.9534426377
35	0.9508249959
36	0.9484541606
37	0.9461210714
38	0.9438694448
39	0.9396038402
40	0.9374751691
41	0.936431476
42	0.9337024489
43	0.9325359657
44	0.9293388406
45	0.92706446
46	0.9255661939
47	0.9245395802
48	0.9234411583
49	0.9213334943
50	0.9189236385
51	0.9186602127
52	0.9166055098
53	0.9151057509
54	0.9144987421
55	0.910938808
56	0.9107239444
57	0.908714643
58	0.9058037598
59	0.9046340572
60	0.904088235
61	0.9026817251
62	0.9019813818
63	0.8990783132
64	0.8977455636
65	0.8962214196
66	0.8961936265
67	0.8943322559
68	0.8933067706
69	0.8930732557
70	0.8921209702
71	0.8911309125
72	0.8889643212
73	0.8851173326
74	0.8837282626
75	0.8806456338
76	0.8789502884
77	0.8769317044
78	0.875844398
79	0.8727244063
80	0.8721511556
81	0.8717547198
82	0.8701759117
83	0.8694818859
84	0.8689208166
85	0.8677305452
86	0.8674925257
87	0.8659509547
88	0.8658957934
89	0.8652009032
90	0.864409584
91	0.8639380414
92	0.8632453308
93	0.8631223796
94	0.861882179
95	0.8615374255
96	0.8608088809
97	0.860779858
98	0.8593534857
99	0.8580966294
